"player","score of PapadopoulosReimplementation","score of AbaProReimplementation","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"PapadopoulosReimplementation","4","2","9056","236555","184517","1688","4","0","0","0","0","58","30","27","3"
"AbaProReimplementation","4","2","988","34586","29572","-193","4","0","0","0","0","41","7","15","6"
"PapadopoulosReimplementation","4","2","6017","154094","121007","1662","4","0","0","0","0","63","13","37","3"
"AbaProReimplementation","4","2","979","40676","35982","-191","4","0","0","0","0","41","7","14","8"
"PapadopoulosReimplementation","4","2","4776","127219","102931","1684","4","0","0","0","0","54","14","29","4"
"AbaProReimplementation","4","2","2129","105967","94499","-190","4","0","0","0","0","42","17","14","8"
"PapadopoulosReimplementation","4","2","6425","228762","199957","1718","4","0","0","0","0","52","20","26","7"
"AbaProReimplementation","4","2","1056","43465","37263","-191","4","0","0","0","0","38","9","16","6"
"PapadopoulosReimplementation","4","2","6876","235771","202205","1742","4","0","0","0","0","50","24","26","6"
"AbaProReimplementation","4","2","2023","70010","59638","-193","4","0","0","0","0","47","12","17","6"
"PapadopoulosReimplementation","4","2","7748","245098","209734","1684","4","0","0","0","0","54","21","29","6"
"AbaProReimplementation","4","2","2737","105862","91507","-194","4","0","0","0","0","41","19","17","6"
"PapadopoulosReimplementation","4","2","1555","42986","34657","1676","4","0","0","0","0","48","5","31","4"
"AbaProReimplementation","4","2","1024","33075","27750","-197","4","0","0","0","0","37","6","22","5"
"PapadopoulosReimplementation","4","2","3296","120268","106197","1734","4","0","0","0","0","40","10","31","7"
"AbaProReimplementation","4","2","2097","67520","57296","-197","4","0","0","0","0","36","11","24","5"
"PapadopoulosReimplementation","4","2","2721","88871","75304","1760","4","0","0","0","0","40","13","24","5"
"AbaProReimplementation","4","2","1835","68687","60362","-198","4","0","0","0","0","34","17","13","7"
"PapadopoulosReimplementation","4","2","2725","82551","68167","1776","4","0","0","0","0","41","11","28","4"
"AbaProReimplementation","4","2","2034","64529","55806","-199","4","0","0","0","0","36","10","22","6"
"PapadopoulosReimplementation","4","2","6151","178626","145986","1802","4","0","0","0","0","41","21","36","4"
