"player","score of AbaProReimplementation","score of PapadopoulosReimplementation","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"AbaProReimplementation","1","0","3308","94321","76969","108","4","0","0","0","0","58","12","23","4"
"PapadopoulosReimplementation","1","0","21228","415765","354652","-906","4","0","0","0","0","54","30","36","5"
"AbaProReimplementation","1","0","5205","150597","124706","108","4","0","0","0","0","57","17","25","5"
"PapadopoulosReimplementation","1","0","5140","103326","87767","-926","4","0","0","0","0","52","15","18","5"
"AbaProReimplementation","1","0","4986","137345","111166","107","4","0","0","0","0","62","18","21","4"
"PapadopoulosReimplementation","1","0","7437","132367","108294","-910","4","0","0","0","0","52","18","23","4"
"AbaProReimplementation","1","0","5545","161192","132098","107","4","0","0","0","0","50","20","27","4"
"PapadopoulosReimplementation","1","0","21293","385516","319628","-886","4","0","0","0","0","54","35","33","5"
"AbaProReimplementation","1","0","7918","204433","164534","107","4","0","0","0","0","53","22","31","4"
"PapadopoulosReimplementation","1","0","18170","323273","270038","-898","4","0","0","0","0","57","30","29","5"
"AbaProReimplementation","1","0","6510","172222","141879","108","4","0","0","0","0","54","21","24","4"
"PapadopoulosReimplementation","1","0","17277","319172","271586","-898","4","0","0","0","0","59","23","33","5"
"AbaProReimplementation","1","0","10857","284252","236526","108","4","0","0","0","0","57","19","40","5"
"PapadopoulosReimplementation","1","0","9778","178620","150746","-892","4","0","0","0","0","60","20","22","5"
"AbaProReimplementation","1","0","11669","314921","264316","108","4","0","0","0","0","61","31","25","5"
"PapadopoulosReimplementation","1","0","24450","458516","395698","-906","4","0","0","0","0","61","24","40","6"
"AbaProReimplementation","1","0","5290","110477","86469","108","4","0","0","0","0","54","10","42","3"
"PapadopoulosReimplementation","1","0","6887","128000","107858","-902","4","0","0","0","0","50","14","26","5"
"AbaProReimplementation","1","0","4323","94413","74680","109","4","0","0","0","0","56","12","27","3"
"PapadopoulosReimplementation","1","0","13081","264216","230458","-906","4","0","0","0","0","45","26","27","7"
"AbaProReimplementation","1","0","6195","124609","97010","109","4","0","0","0","0","54","13","36","3"
"PapadopoulosReimplementation","1","0","20653","416109","364426","-900","4","0","0","0","0","50","29","33","7"
"AbaProReimplementation","1","0","4240","88181","69333","108","4","0","0","0","0","52","10","33","3"
"PapadopoulosReimplementation","1","0","16448","344935","303530","-886","4","0","0","0","0","55","24","30","7"
"AbaProReimplementation","1","0","5229","89407","66554","107","4","0","0","0","0","59","9","38","2"
"PapadopoulosReimplementation","1","0","27992","556738","486744","-900","4","0","0","0","0","49","39","34","7"
"AbaProReimplementation","1","0","5654","113550","88164","108","4","0","0","0","0","55","12","36","3"
"PapadopoulosReimplementation","1","0","45178","1057251","961563","-910","4","0","0","0","0","50","51","36","10"
"AbaProReimplementation","1","0","6351","114637","85103","109","4","0","0","0","0","63","11","40","2"
"PapadopoulosReimplementation","1","0","10676","210363","181924","-950","4","0","0","0","0","55","19","26","6"
"AbaProReimplementation","1","0","4748","96891","75320","108","4","0","0","0","0","72","11","23","3"
"PapadopoulosReimplementation","1","0","32381","792534","726876","-978","4","0","0","0","0","53","35","33","11"
"AbaProReimplementation","1","0","7236","145179","110937","109","4","0","0","0","0","60","17","32","3"
"PapadopoulosReimplementation","1","0","25461","591040","539294","-964","4","0","0","0","0","56","28","31","10"
"AbaProReimplementation","1","0","3024","61302","47531","107","4","0","0","0","0","63","9","21","3"
"PapadopoulosReimplementation","1","0","33426","855710","790661","-996","4","0","0","0","0","53","33","35","12"
"AbaProReimplementation","1","0","22062","418455","315743","110","4","0","0","0","0","66","41","36","3"
"PapadopoulosReimplementation","1","0","14051","304625","274254","-992","4","0","0","0","0","53","30","17","9"
"AbaProReimplementation","1","0","5384","105351","81469","111","4","0","0","0","0","60","13","29","3"
"PapadopoulosReimplementation","1","0","17993","328494","285721","-968","4","0","0","0","0","54","28","27","6"
"AbaProReimplementation","1","0","3050","61609","47452","108","4","0","0","0","0","56","8","28","3"
"PapadopoulosReimplementation","1","0","30488","666511","603500","-964","4","0","0","0","0","52","36","31","9"
"AbaProReimplementation","1","0","4089","75541","56890","108","4","0","0","0","0","59","7","40","3"
"PapadopoulosReimplementation","1","0","19716","451272","410631","-952","4","0","0","0","0","50","21","36","10"
"AbaProReimplementation","1","0","3988","76729","58953","109","4","0","0","0","0","57","12","23","3"
"PapadopoulosReimplementation","1","0","18758","366823","325730","-982","4","0","0","0","0","54","22","32","8"
"AbaProReimplementation","1","0","2360","44471","33784","109","4","0","0","0","0","56","6","29","3"
"PapadopoulosReimplementation","1","0","17385","447281","412657","-926","4","0","0","0","0","51","35","17","12"
"AbaProReimplementation","1","0","4490","88577","68750","108","4","0","0","0","0","64","12","24","3"
"PapadopoulosReimplementation","1","0","39156","824031","735428","-960","4","0","0","0","0","52","58","28","8"
"AbaProReimplementation","2","0","2234","44449","34789","104","4","0","0","0","0","57","7","20","3"
"PapadopoulosReimplementation","2","0","17350","333798","288161","-1664","4","0","0","0","0","56","20","38","6"
"AbaProReimplementation","2","0","2004","47034","37943","195","4","0","0","0","0","52","7","21","4"
"PapadopoulosReimplementation","2","0","8113","124506","101333","-1680","4","0","0","0","0","57","9","41","4"
"AbaProReimplementation","2","0","12875","346153","292024","196","4","0","0","0","0","59","28","31","5"
"PapadopoulosReimplementation","2","0","16783","319137","273175","-1658","4","0","0","0","0","56","21","37","6"
"AbaProReimplementation","2","0","10587","267605","219204","196","4","0","0","0","0","61","29","25","4"
"PapadopoulosReimplementation","2","0","8834","170822","146880","-1686","4","0","0","0","0","52","17","25","6"
"AbaProReimplementation","2","0","2784","55466","41799","197","4","0","0","0","0","50","9","28","3"
"PapadopoulosReimplementation","2","0","13490","268952","231017","-1682","4","0","0","0","0","51","33","21","6"
"AbaProReimplementation","2","0","7105","188755","154446","200","4","0","0","0","0","51","32","19","4"
"PapadopoulosReimplementation","2","0","12365","254532","221676","-1696","4","0","0","0","0","52","30","20","7"
"AbaProReimplementation","2","0","7261","196131","159627","200","4","0","0","0","0","51","32","21","4"
"PapadopoulosReimplementation","2","0","9625","190324","161223","-1660","4","0","0","0","0","49","27","20","5"
"AbaProReimplementation","2","0","5320","148701","120022","200","4","0","0","0","0","52","24","21","4"
"PapadopoulosReimplementation","2","0","3725","80885","69403","-1678","4","0","0","0","0","43","16","15","6"
"AbaProReimplementation","2","0","3007","75863","57133","201","4","0","0","0","0","45","14","27","3"
"PapadopoulosReimplementation","2","0","6628","149626","132278","-1722","4","0","0","0","0","47","22","15","8"
"AbaProReimplementation","2","0","3232","72756","54707","202","4","0","0","0","0","50","11","30","3"
"PapadopoulosReimplementation","2","0","8213","159115","134947","-1724","4","0","0","0","0","52","18","23","5"
"AbaProReimplementation","2","0","1027","33898","26935","200","4","0","0","0","0","49","5","23","4"
"PapadopoulosReimplementation","2","0","7172","150818","129168","-1702","4","0","0","0","0","47","25","17","6"
"AbaProReimplementation","2","0","1737","41314","29897","201","4","0","0","0","0","62","4","38","2"
"PapadopoulosReimplementation","2","0","19248","417911","366097","-1720","4","0","0","0","0","55","30","30","7"
"AbaProReimplementation","2","0","1652","41619","30603","203","4","0","0","0","0","57","6","28","2"
"PapadopoulosReimplementation","2","0","12156","241926","210648","-1760","4","0","0","0","0","54","25","21","7"
"AbaProReimplementation","2","0","2431","67990","52555","206","4","0","0","0","0","62","7","30","3"
"PapadopoulosReimplementation","2","0","24099","474770","416906","-1812","4","0","0","0","0","59","25","37","7"
"AbaProReimplementation","2","0","1670","45023","33952","208","4","0","0","0","0","54","8","24","3"
"PapadopoulosReimplementation","2","0","7014","124131","105185","-1842","4","0","0","0","0","55","15","21","5"
"AbaProReimplementation","2","0","1637","47248","36082","208","4","0","0","0","0","59","7","24","3"
"PapadopoulosReimplementation","2","0","30806","612869","541216","-1866","4","0","0","0","0","61","34","32","7"
"AbaProReimplementation","2","0","5758","174640","135833","211","4","0","0","0","0","63","17","33","3"
"PapadopoulosReimplementation","2","0","21591","507621","465740","-1906","4","0","0","0","0","61","27","23","11"
"AbaProReimplementation","2","0","1183","38511","30989","211","4","0","0","0","0","61","5","20","4"
"PapadopoulosReimplementation","2","0","50299","1137777","1039044","-1900","4","0","0","0","0","65","40","36","10"
"AbaProReimplementation","2","0","3732","123997","102188","212","4","0","0","0","0","62","16","20","4"
"PapadopoulosReimplementation","2","0","10300","212469","191574","-1946","4","0","0","0","0","72","8","34","9"
"AbaProReimplementation","2","0","8334","330185","287839","213","4","0","0","0","0","64","27","22","7"
"PapadopoulosReimplementation","2","0","42663","946901","870692","-1944","4","0","0","0","0","84","27","32","11"
"AbaProReimplementation","2","0","20001","790847","697938","214","4","0","0","0","0","68","40","32","7"
"PapadopoulosReimplementation","2","0","32168","663278","600823","-1946","4","0","0","0","0","83","20","36","9"
"AbaProReimplementation","2","0","8306","261199","212447","214","4","0","0","0","0","60","21","37","4"
"PapadopoulosReimplementation","2","0","39090","784465","711400","-1968","4","0","0","0","0","70","27","36","10"
"AbaProReimplementation","2","0","5104","141926","114132","215","4","0","0","0","0","65","10","38","4"
"PapadopoulosReimplementation","2","0","20462","349962","309065","-1968","4","0","0","0","0","74","18","29","7"
"AbaProReimplementation","2","0","6994","193833","154193","217","4","0","0","0","0","68","13","41","3"
"PapadopoulosReimplementation","2","0","51926","1054004","961597","-1980","4","0","0","0","0","73","42","28","10"
"AbaProReimplementation","2","0","6420","143732","106584","217","4","0","0","0","0","67","14","36","2"
"PapadopoulosReimplementation","2","0","66463","1441885","1329290","-2010","4","0","0","0","0","75","60","23","12"
"AbaProReimplementation","3","0","5065","202138","178952","216","4","0","0","0","0","69","33","9","8"
"PapadopoulosReimplementation","3","0","54953","918976","792753","-2716","4","0","0","0","0","81","29","51","6"
"AbaProReimplementation","3","0","3712","153090","132135","305","4","0","0","0","0","59","17","19","6"
"PapadopoulosReimplementation","3","0","35741","869039","805966","-2710","4","0","0","0","0","60","25","39","13"
"AbaProReimplementation","3","0","2495","60260","43657","307","4","0","0","0","0","59","8","31","2"
"PapadopoulosReimplementation","3","0","108151","2780597","2621042","-2744","4","0","0","0","0","68","58","38","16"
"AbaProReimplementation","3","0","3563","82237","62209","310","4","0","0","0","0","66","8","34","3"
"PapadopoulosReimplementation","3","0","52309","1057498","961550","-2798","4","0","0","0","0","70","56","23","10"
"AbaProReimplementation","3","0","5559","126113","94965","312","4","0","0","0","0","70","12","33","3"
"PapadopoulosReimplementation","3","0","73699","1642629","1513559","-2934","4","0","0","0","0","62","76","26","12"
"AbaProReimplementation","4","0","1225","25429","17821","307","4","0","0","0","0","73","3","32","2"
"PapadopoulosReimplementation","4","0","75948","1820829","1681184","-3540","4","0","0","0","0","59","68","33","12"
"AbaProReimplementation","5","0","1304","30605","22078","404","4","0","0","0","0","74","3","36","2"
"PapadopoulosReimplementation","5","0","52262","1203230","1093562","-4222","4","0","0","0","0","62","53","31","10"
"AbaProReimplementation","5","0","3161","97112","75250","497","4","0","0","0","0","71","9","30","3"
"PapadopoulosReimplementation","5","0","20024","529397","487947","-4228","4","0","0","0","0","52","33","22","12"
"AbaProReimplementation","5","0","2582","71303","52955","495","4","0","0","0","0","61","8","33","2"
"PapadopoulosReimplementation","5","0","47248","1242604","1154105","-4234","4","0","0","0","0","51","49","34","13"
"AbaProReimplementation","5","0","3009","77945","56100","498","4","0","0","0","0","68","7","39","2"
"PapadopoulosReimplementation","5","0","4072","66476","55702","-4288","4","0","0","0","0","42","7","31","5"
"AbaProReimplementation","5","0","2903","90741","68324","499","4","0","0","0","0","61","11","31","3"
"PapadopoulosReimplementation","5","0","36152","897018","826652","-4292","4","0","0","0","0","50","44","30","12"
"AbaProReimplementation","5","0","3026","104119","81486","500","4","0","0","0","0","61","11","30","3"
"PapadopoulosReimplementation","5","0","13169","307566","281008","-4304","4","0","0","0","0","48","24","21","11"
"AbaProReimplementation","5","0","4889","153885","115030","500","4","0","0","0","0","69","15","36","3"
"PapadopoulosReimplementation","5","0","3603","0","0","0","0","0","0","0","0"
"AbaProReimplementation","5","0","283","12405","10469","501","4","0","0","0","0","70","2","9","6"
"PapadopoulosReimplementation","5","0","2091","0","0","0","0","0","0","0","0"
"AbaProReimplementation","6","0","72","2376","2076","501","4","0","0","0","0","70","1","1","18"
