"player","score of ConsiderSelfOnly","score of CondiserEnemyPosition","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"CondiserEnemyPosition","0","0","127915","2275827","2038916","-24","4","0","0","0","0","76","50","60","8"
"ConsiderSelfOnly","0","0","4399","53534","42561","24","4","0","0","0","0","76","6","22","4"
"CondiserEnemyPosition","0","0","36831","584415","508641","-28","4","0","0","0","0","85","12","71","6"
"ConsiderSelfOnly","0","0","4693","55587","43409","24","4","0","0","0","0","63","6","29","3"
"CondiserEnemyPosition","0","0","88830","1675801","1508651","-18","4","0","0","0","0","76","33","65","9"
"ConsiderSelfOnly","0","0","3810","34199","24354","12","4","0","0","0","0","72","3","39","2"
"CondiserEnemyPosition","0","0","124669","2200869","1962720","-32","4","0","0","0","0","82","46","61","8"
"ConsiderSelfOnly","0","0","5231","63437","50535","28","4","0","0","0","0","72","6","25","4"
"CondiserEnemyPosition","0","0","159665","2873794","2586980","-30","4","0","0","0","0","78","58","62","9"
"ConsiderSelfOnly","0","0","3566","48898","39902","40","4","0","0","0","0","75","5","20","4"
"CondiserEnemyPosition","0","0","32480","549630","486069","-46","4","0","0","0","0","81","12","61","7"
"ConsiderSelfOnly","0","0","16807","226589","185136","32","4","0","0","0","0","67","25","23","4"
"CondiserEnemyPosition","0","0","111925","2009073","1787156","12","4","0","0","0","0","75","48","59","8"
"ConsiderSelfOnly","0","0","3412","53936","45489","8","4","0","0","0","0","59","7","17","5"
"CondiserEnemyPosition","0","0","52741","905053","793364","-12","4","0","0","0","0","78","21","64","7"
"ConsiderSelfOnly","0","0","5841","72814","58337","8","4","0","0","0","0","63","10","21","4"
"CondiserEnemyPosition","0","0","66690","1060654","925762","-22","4","0","0","0","0","78","27","61","6"
"ConsiderSelfOnly","0","0","3764","53145","43973","32","4","0","0","0","0","64","8","16","5"
"CondiserEnemyPosition","0","0","93655","1598664","1420889","-20","4","0","0","0","0","72","41","58","8"
"ConsiderSelfOnly","0","0","1953","16408","11299","32","4","0","0","0","0","69","2","34","2"
"CondiserEnemyPosition","0","0","133069","2654649","2431046","-42","4","0","0","0","0","75","48","60","11"
"ConsiderSelfOnly","0","0","4043","45371","35216","40","4","0","0","0","0","75","4","26","3"
"CondiserEnemyPosition","0","0","145679","2793187","2540877","-12","4","0","0","0","0","76","51","62","10"
"ConsiderSelfOnly","0","0","8231","87741","65477","24","4","0","0","0","0","68","7","40","3"
"CondiserEnemyPosition","0","0","52678","824797","717494","-64","4","0","0","0","0","85","18","66","6"
"ConsiderSelfOnly","0","0","2712","36885","30604","32","4","0","0","0","0","65","4","18","5"
"CondiserEnemyPosition","0","0","126453","1824410","1563652","-22","4","0","0","0","0","83","46","67","6"
"ConsiderSelfOnly","0","0","3699","54523","45375","32","4","0","0","0","0","64","6","22","5"
"CondiserEnemyPosition","0","0","112298","1911189","1687044","-22","4","0","0","0","0","83","38","69","7"
"ConsiderSelfOnly","0","0","2902","44039","37466","14","4","0","0","0","0","68","4","19","6"
"CondiserEnemyPosition","0","0","139617","2098802","1806174","-16","4","0","0","0","0","83","49","70","6"
"ConsiderSelfOnly","0","0","2422","33813","27866","26","4","0","0","0","0","63","4","18","4"
"CondiserEnemyPosition","0","0","112666","2230613","2020446","-10","4","0","0","0","0","83","35","69","9"
"ConsiderSelfOnly","0","0","7327","106964","87673","2","4","0","0","0","0","66","12","22","4"
"CondiserEnemyPosition","0","0","67340","1072724","932488","-64","4","0","0","0","0","85","23","68","6"
"ConsiderSelfOnly","0","0","5750","103486","88738","26","4","0","0","0","0","64","12","17","6"
"CondiserEnemyPosition","0","0","37669","658945","585997","-76","4","0","0","0","0","85","16","51","8"
"ConsiderSelfOnly","0","0","30261","377536","294560","32","4","0","0","0","0","61","40","32","3"
"CondiserEnemyPosition","0","0","31085","532980","473814","-86","4","0","0","0","0","81","12","57","8"
