"player","score of AbaProReimplementation","score of PapadopoulosReimplementation","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"PapadopoulosReimplementation","4","4","2903","108662","93753","24","4","0","0","0","0","41","17","19","6"
"AbaProReimplementation","4","4","889","45341","38680","0","4","0","0","0","0","47","11","10","6"
"PapadopoulosReimplementation","4","4","2159","70069","57856","2","4","0","0","0","0","46","10","24","4"
"AbaProReimplementation","4","4","1614","74497","62694","2","4","0","0","0","0","46","12","19","5"
"PapadopoulosReimplementation","4","4","3002","88129","69564","16","4","0","0","0","0","48","13","28","3"
"AbaProReimplementation","4","4","2430","91897","75692","-1","4","0","0","0","0","48","17","18","4"
"PapadopoulosReimplementation","4","4","8237","235523","191257","46","4","0","0","0","0","49","30","28","4"
"AbaProReimplementation","4","4","1863","70387","57528","2","4","0","0","0","0","49","13","18","4"
"PapadopoulosReimplementation","4","4","1701","48168","38058","-10","4","0","0","0","0","49","8","23","3"
"AbaProReimplementation","4","4","2189","92087","77796","1","4","0","0","0","0","45","18","16","5"
"PapadopoulosReimplementation","4","4","1229","35476","29158","44","4","0","0","0","0","46","5","24","4"
"AbaProReimplementation","4","4","994","37588","31265","2","4","0","0","0","0","46","9","13","5"
"PapadopoulosReimplementation","4","4","1844","53162","43402","50","4","0","0","0","0","43","9","23","4"
"AbaProReimplementation","4","4","1858","76868","65361","3","4","0","0","0","0","45","16","14","6"
"PapadopoulosReimplementation","4","4","813","19459","15005","46","4","0","0","0","0","45","3","24","3"
"AbaProReimplementation","4","4","4187","151846","127198","-2","4","0","0","0","0","46","24","21","5"
"PapadopoulosReimplementation","4","4","807","23149","19298","82","4","0","0","0","0","40","4","18","5"
"AbaProReimplementation","4","4","3266","120378","101827","-3","4","0","0","0","0","52","15","21","5"
"PapadopoulosReimplementation","4","4","917","24724","20071","94","4","0","0","0","0","40","5","19","4"
"AbaProReimplementation","4","4","4579","139577","114475","-3","4","0","0","0","0","50","21","22","4"
"PapadopoulosReimplementation","4","4","654","13783","10179","76","4","0","0","0","0","44","2","28","2"
"AbaProReimplementation","4","4","5254","136882","107147","-6","4","0","0","0","0","50","21","26","3"
"PapadopoulosReimplementation","4","4","1185","36300","29913","128","4","0","0","0","0","39","5","26","4"
"AbaProReimplementation","4","4","3997","134986","111149","-6","4","0","0","0","0","49","12","37","4"
"PapadopoulosReimplementation","4","4","460","13642","11062","140","4","0","0","0","0","38","3","17","4"
"AbaProReimplementation","4","4","2647","57544","43327","-7","4","0","0","0","0","53","6","39","3"
"PapadopoulosReimplementation","4","4","1912","58650","46963","172","4","0","0","0","0","34","15","21","4"
"AbaProReimplementation","4","4","4061","107067","85426","-7","4","0","0","0","0","49","12","34","4"
"PapadopoulosReimplementation","4","4","4066","109120","83824","176","4","0","0","0","0","36","24","27","3"
"AbaProReimplementation","4","4","1183","29454","22831","-6","4","0","0","0","0","49","4","26","3"
"PapadopoulosReimplementation","4","4","2095","58932","46082","148","4","0","0","0","0","39","12","25","3"
"AbaProReimplementation","4","4","3048","75305","58951","-7","4","0","0","0","0","46","9","37","3"
"PapadopoulosReimplementation","4","4","2356","67798","52879","198","4","0","0","0","0","35","15","26","3"
"AbaProReimplementation","4","4","3437","103149","84013","-8","4","0","0","0","0","45","13","30","4"
"PapadopoulosReimplementation","4","4","3030","87296","68432","190","4","0","0","0","0","35","21","24","3"
"AbaProReimplementation","4","4","1387","46858","37521","-7","4","0","0","0","0","46","7","24","4"
"PapadopoulosReimplementation","4","4","1887","57686","45721","140","4","0","0","0","0","41","11","23","3"
"AbaProReimplementation","4","4","1519","46832","37197","-7","4","0","0","0","0","49","8","21","4"
"PapadopoulosReimplementation","4","4","1209","43301","35889","150","4","0","0","0","0","36","13","14","5"
"AbaProReimplementation","4","4","2225","89192","75722","-7","4","0","0","0","0","45","22","12","6"
"PapadopoulosReimplementation","4","4","688","22252","17560","136","4","0","0","0","0","34","5","21","3"
"AbaProReimplementation","4","4","3906","134147","113569","-8","4","0","0","0","0","46","16","25","5"
"PapadopoulosReimplementation","4","4","4335","128945","102080","180","4","0","0","0","0","38","22","30","3"
"AbaProReimplementation","4","4","3099","77139","60657","-8","4","0","0","0","0","47","10","31","3"
"PapadopoulosReimplementation","4","4","4191","122062","95847","188","4","0","0","0","0","38","21","30","3"
"AbaProReimplementation","4","4","5934","179111","145946","-8","4","0","0","0","0","49","20","31","4"
"PapadopoulosReimplementation","4","4","1557","45804","36523","152","4","0","0","0","0","39","9","23","4"
"AbaProReimplementation","4","4","4336","87184","64120","-8","4","0","0","0","0","50","11","39","2"
"PapadopoulosReimplementation","4","4","4159","119787","92697","216","4","0","0","0","0","34","26","29","3"
"AbaProReimplementation","4","4","3141","105104","87680","-9","4","0","0","0","0","45","10","34","5"
